Railroad,Region,Bridge Prefix,Number Divider,Format Help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago & North Western,Galena-Cuba City,Bridge , ,C&NW bridges are named with as ''Bridge [Number] [Suffix]'' where the number is assigned incrementally along the trackage.  Numbers are initially assigned integers with spurs being given a letter suffix appended to the number of the next-lowest bridge number before the junction.  Bridges added after the initial assignment are given a fractional suffix denoting their placement between two bridges.  An example is Bridge 1450 1/2 being added between Bridge 1450 and Bridge 1451.  Further additions work by placing another fraction halfway between the relevant bridge numbers (such as 1450 3/4 between 1450 1/2 and 1451).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal,,,Original,(shared),,,(culvert),(bridge),,,,,,,,,,(universal),,,First Rebuild,,,,,,,,,,,,,,,,,,Further Rebuilds continue cycle,,,,,,,,,,,,,,,,,
Number,Lat,Long,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date
Bridge 1459,42.51294,-90.381808,B,Unknown,-1,-1,,1,N,,,,,,,,,pre-1911,Removed,5-1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1460,42.50953,-90.38543,B,T.R.S.,127,-1,,1,N,,,,,,,,,pre-1917,Removed,5-30-1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1461,42.50689,-90.3875,B,P.B.,70.4,-1,,5,N,,,,,,,,,pre-1917,Removed,5-30-1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1462,42.50468,-90.38661,B,T.R.S.,146,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1463,42.50226,-90.38531,B,P.B.,15.4,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1463 1/2,42.50214,-90.38527,B,P.B.,11.3,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1463 3/4,42.49774,-90.38694,B,Illegible (P.B.?),18,-1,,1,N,,,,,,,,,5-20-1934,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1464,42.49713,-90.38792,B,I.B.,9.7,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1465,42.49451,-90.39414,B,T.R.S.,147,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1465 1/4,42.49137,-90.39734,B,P.B.,15.9,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1465 1/2,42.48912,-90.39625,B,P.B.,31.7,-1,,2,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1466,42.48512,-90.39375,B,T.R.S.,153.5,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1467,42.48232,-90.39773,B,P.B.,15.8,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1468,42.48254,-90.40329,B,T.R.S.,149.5,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1468 1/2,42.48135,-90.406,C,C.B.C.,24,2,2,,,,,,,,,,,2-26-1926,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1469,42.48067,-90.40622,B,I.B. Sp.,8.6,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1469 1/2,42.47989,-90.4061,C,C.B.C.,24,2,2,,,,,,,,,,,2-26-1926,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1470,42.47861,-90.40557,C,Conc. P.,32,24,24,,,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1470 1/2,42.47825,-90.40536,B,P.B.,9.4,-1,,1,N,,,,,,,,,pre-1917,Rebuilt,6-1918,C,Conc. P.,32,2,2,,,,,,,,,,,6-1918,Removed,12-30-1939,,,,,,,,,,,,,,,,,,
Bridge 1471,42.47747,-90.40477,B,I.B. Sp.,8.6,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1473,42.47639,-90.40381,C,Conc. P. & V.P.C.,46,3,3,,,,,,,,,,,pre-1917,Rebuilt,1-1918,C,Conc. P. & V.P.C.,54,3,3,,,,,,,,,,,1-1918,Removed,12-30-1939,,,,,,,,,,,,,,,,,,
Bridge 1474,42.47151,-90.39964,B,I.B. Sp.,24.5,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1475,42.47093,-90.39073,B,T.R.S.,158,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1476,42.46661,-90.38861,B,P.B.,16.1,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1477,42.46389,-90.3908,B,P.B.,13.2,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1478,42.4631,-90.39185,C,C.I.P.,24,2,2,,,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1479,42.46155,-90.39474,B,P.B.,13.2,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1480,42.46052,-90.3969,B,P.B.,63.4,-1,,4,N,,,,,,,,,pre-1917,Rebuilt,1917,B,P.B.,63.4,-1,,5,N,,,,,,,,,1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,
Bridge 1481,42.45718,-90.40014,B,P.B.,31.8,-1,,2,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1481 1/2,42.45587,-90.39973,C,C.I.P.,42,3,3,,,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1482,42.45416,-90.39695,B,P.B.,16,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1482 1/2,42.45319,-90.39419,B,P.B.,12.9,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1483,42.45268,-90.39284,B,P.B.,8.3,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1484,42.44974,-90.3904,B,P.B.,51.9,-1,,4,N,,,,,,,,,pre-1917,Rebuilt,9-23-1925,B,P.B.,64.9,-1,,5,N,,,,,,,,,9-23-1925,Removed,12-30-1939,,,,,,,,,,,,,,,,,,
Bridge 1485,42.44718,-90.39383,B,P.B.,51.5,-1,,4,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1486,42.4443,-90.39798,B,I.B. Sp.,9,-1,,1,N,,,,,,,,,pre-1917,Removed,12-30-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
